short_name,nationality_name,club_name,macro_pos,perfil,cluster,overall,age,score_impacto,rank_global
G. Xhaka,Switzerland,Arsenal,MID,Mediocampista Defensivo,3,79,28,77.99,307
T. Adams,United States,RB Leipzig,MID,Mediocampista Defensivo,3,77,22,77.96,308
T. Malacia,Netherlands,Feyenoord,DEF,Lateral Ofensivo,2,77,21,77.96,309
D. Henry,Canada,Suwon Samsung Bluewings,DEF,Defensa Central Físico,3,70,28,77.96,310
D. Vida,Croatia,Beşiktaş JK,DEF,Defensa Élite,1,78,32,77.95,311
J. Campbell,Costa Rica,CF Monterrey,FWD,Extremo / Delantero Dinámico,3,75,29,77.94,312
R. Doan,Japan,PSV,MID,Mediocampista Ofensivo,2,76,23,77.9,313
A. Budimir,Croatia,CA Osasuna,FWD,Pivote / Referencia,2,78,29,77.86,314
M. Diouf,Senegal,Atakaş Hatayspor,FWD,Pivote / Referencia,2,73,33,77.86,315
A. Oyongo,Cameroon,Montpellier Hérault SC,DEF,Lateral Ofensivo,2,74,30,77.85,316
Hong Chul,Korea Republic,Ulsan Hyundai FC,DEF,Lateral Ofensivo,2,71,30,77.83,317
T. Weah,United States,LOSC Lille,FWD,Extremo / Delantero Dinámico,3,74,21,77.78,318
Nélson Semedo,Portugal,Wolverhampton Wanderers,DEF,Defensa Élite,1,80,27,77.72,319
A. Ljajić,Serbia,Beşiktaş JK,MID,Mediocampista Ofensivo,2,75,29,77.66,320
A. Živković,Serbia,PAOK,FWD,Extremo / Delantero Dinámico,3,76,24,77.62,321
Luimo Boas Santos,Brazil,Santos,FWD,Extremo / Delantero Dinámico,3,79,21,77.57,322
L. Fejsa,Serbia,Al Ahli,MID,Mediocampista Defensivo,3,75,32,77.53,323
A. Duncan,Ghana,Fiorentina,MID,Mediocampista Defensivo,3,74,28,77.52,324
M. Ryan,Australia,Real Sociedad,GK,Portero Titular,1,77,29,77.48,325
N. Aguerd,Morocco,Stade Rennais FC,DEF,Defensa Central Físico,3,76,25,77.46,326
D. Amartey,Ghana,Leicester City,DEF,Defensa Central Físico,3,76,26,77.43,327
M. Braithwaite,Denmark,FC Barcelona,FWD,Extremo / Delantero Dinámico,3,77,30,77.38,328
C. Roberts,Wales,Burnley,DEF,Lateral Ofensivo,2,75,25,77.38,329
A. Al Amri,Saudi Arabia,Al Nassr,DEF,Defensa Central Físico,3,72,24,77.38,330
A. Robinson,United States,Fulham,DEF,Lateral Ofensivo,2,73,23,77.35,331
L. Romo,Mexico,Cruz Azul,MID,Mediocampista Defensivo,3,77,26,77.32,332
L. Olaza,Uruguay,Real Valladolid CF,DEF,Lateral Ofensivo,2,78,26,77.3,333
B. Embolo,Switzerland,Borussia Mönchengladbach,FWD,Extremo / Delantero Dinámico,3,77,24,77.28,334
J. Boye,Ghana,Al Fayha,DEF,Defensa Central Físico,3,73,34,77.28,335
G. Plata,Ecuador,Real Valladolid CF,FWD,Extremo / Delantero Dinámico,3,74,20,77.26,336
Y. Poulsen,Denmark,RB Leipzig,FWD,Extremo / Delantero Dinámico,3,77,27,77.25,337
A. Seck,Senegal,Royal Antwerp FC,DEF,Defensa Central Físico,3,73,29,77.24,338
B. Barišić,Croatia,Rangers FC,DEF,Lateral Ofensivo,2,75,28,77.19,339
Z. Labyad,Morocco,Ajax,MID,Mediocampista Ofensivo,2,75,28,77.17,340
Lee Dong Jun,Korea Republic,Ulsan Hyundai FC,FWD,Extremo / Delantero Dinámico,3,71,24,77.16,341
D. Wass,Denmark,Valencia CF,DEF,Defensa Élite,1,80,32,77.13,342
L. Dubois,France,Olympique Lyonnais,DEF,Defensa Élite,1,78,26,77.1,343
S. Sosa,Uruguay,Club Atlético Independiente,GK,Portero de Reserva,2,78,34,77.08,344
J. Mensah,Ghana,Columbus Crew,DEF,Defensa Central Físico,3,72,30,77.06,345
Kang Sang Woo,Korea Republic,Pohang Steelers,DEF,Lateral Ofensivo,2,72,27,77.06,346
J. Musiala,Germany,FC Bayern München,MID,Mediocampista Ofensivo,2,75,18,77.04,347
Louri Beretta,Brazil,RB Bragantino,FWD,Extremo / Delantero Dinámico,3,81,29,77.02,348
D. Suárez,Uruguay,Getafe CF,DEF,Defensa Élite,1,78,33,77.01,349
U. Račić,Serbia,Valencia CF,MID,Mediocampista Defensivo,3,78,23,76.99,350
Domingos Duarte,Portugal,Granada CF,DEF,Defensa Central Físico,3,78,26,76.98,351
L. Milivojević,Serbia,Crystal Palace,MID,Mediocampista Defensivo,3,76,30,76.94,352
E. Palacios,Argentina,Bayer 04 Leverkusen,MID,Mediocampista Defensivo,3,77,22,76.93,353
A. Nyom,Cameroon,Getafe CF,MID,Mediocampista Defensivo,3,75,33,76.93,354
I. Baba,Ghana,RCD Mallorca,MID,Mediocampista Defensivo,3,73,25,76.93,355
T. Mings,England,Aston Villa,DEF,Defensa Élite,1,78,28,76.9,356
B. Dia,Senegal,Villarreal CF,FWD,Pivote / Referencia,2,77,24,76.88,357
K. Glik,Poland,Benevento,DEF,Defensa Central Físico,3,73,33,76.88,358
B. Castillo,Ecuador,Barcelona Sporting Club,DEF,Lateral Ofensivo,2,73,22,76.85,359
O. Nguette,Senegal,FC Metz,FWD,Extremo / Delantero Dinámico,3,74,26,76.83,360
J. Tagueu,Cameroon,Clube Sport Marítimo,FWD,Pivote / Referencia,2,72,27,76.82,361
B. Drągowski,Poland,Fiorentina,GK,Portero de Reserva,2,77,23,76.81,362
F. Gorriarán,Uruguay,Santos Laguna,MID,Mediocampista Defensivo,3,77,26,76.79,363
M. Helik,Poland,Barnsley,DEF,Defensa Central Físico,3,73,25,76.78,364
F. Lustenberger,Switzerland,BSC Young Boys,DEF,Defensa Central Físico,3,75,33,76.73,365
J. Domínguez,Mexico,Cruz Azul,DEF,Defensa Central Físico,3,73,33,76.73,366
N. Araújo,Mexico,RC Celta de Vigo,DEF,Defensa Central Físico,3,76,29,76.72,367
K. Boateng,Ghana,Hertha BSC,MID,Mediocampista Élite,1,78,34,76.68,368
B. Bereszyński,Poland,U.C. Sampdoria,DEF,Lateral Ofensivo,2,73,28,76.68,369
Z. Steffen,United States,Manchester City,GK,Portero Titular,1,77,26,76.68,370
Ó. Duarte,Costa Rica,Levante Unión Deportiva,DEF,Defensa Central Físico,3,73,32,76.67,371
C. Kouyaté,Senegal,Crystal Palace,DEF,Defensa Élite,1,78,31,76.65,372
M. Al Buraik,Saudi Arabia,Al Hilal,DEF,Lateral Ofensivo,2,72,28,76.64,373
G. Haraguchi,Japan,1. FC Union Berlin,MID,Mediocampista Ofensivo,2,74,30,76.62,374
S. Widmer,Switzerland,1. FSV Mainz 05,DEF,Lateral Ofensivo,2,75,28,76.62,375
J. Bijlow,Netherlands,Feyenoord,GK,Portero Titular,1,77,23,76.61,376
M. Pereyra,Uruguay,Orlando City Soccer Club,MID,Mediocampista Élite,1,76,31,76.6,377
T. Krul,Netherlands,Norwich City,GK,Portero de Reserva,2,77,33,76.6,378
L. Jović,Serbia,Real Madrid CF,FWD,Extremo / Delantero Dinámico,3,79,23,76.58,379
T. Minamino,Japan,Liverpool,FWD,Extremo / Delantero Dinámico,3,75,26,76.56,380
P. Djilobodji,Senegal,Gazişehir Gaziantep F.K.,DEF,Defensa Central Físico,3,73,32,76.56,381
F. Đuričić,Serbia,U.S. Sassuolo Calcio,MID,Mediocampista Ofensivo,2,76,29,76.55,382
I. Ganago,Cameroon,Racing Club de Lens,FWD,Extremo / Delantero Dinámico,3,74,22,76.5,383
H. Wilson,Wales,Fulham,MID,Mediocampista Ofensivo,2,75,24,76.49,384
S. Al Ghannam,Saudi Arabia,Al Nassr,DEF,Lateral Ofensivo,2,72,27,76.49,385
A. Buksa,Poland,New England Revolution,FWD,Pivote / Referencia,2,72,24,76.42,386
C. Montes,Mexico,CF Monterrey,DEF,Defensa Central Físico,3,75,24,76.41,387
B. Caicedo,Ecuador,Independiente del Valle,DEF,Lateral Ofensivo,2,70,29,76.38,388
C. Garcés,Ecuador,Barcelona Sporting Club,FWD,Pivote / Referencia,2,72,31,76.36,389
J. Omlin,Switzerland,Montpellier Hérault SC,GK,Portero de Reserva,2,77,27,76.36,390
R. Funes Mori,Mexico,CF Monterrey,FWD,Extremo / Delantero Dinámico,3,77,30,76.35,391
K. Moore,Wales,Cardiff City,FWD,Pivote / Referencia,2,74,28,76.35,392
Anuar,Morocco,Real Valladolid CF,MID,Mediocampista Defensivo,3,75,26,76.35,393
M. Livaja,Croatia,Hajduk Split,FWD,Extremo / Delantero Dinámico,3,75,27,76.32,394
K. Furuhashi,Japan,Celtic,FWD,Extremo / Delantero Dinámico,3,73,26,76.32,395
J. Timber,Netherlands,Ajax,DEF,Defensa Élite,1,75,20,76.28,396
X. Shaqiri,Switzerland,Olympique Lyonnais,FWD,Extremo / Delantero Dinámico,3,79,29,76.26,397
Y. Sabaly,Senegal,Real Betis Balompié,DEF,Lateral Ofensivo,2,76,28,76.24,398
F. Schär,Switzerland,Newcastle United,DEF,Defensa Central Físico,3,76,29,76.23,399
N. Matić,Serbia,Manchester United,MID,Mediocampista Defensivo,3,79,32,76.22,400
K. Diatta,Senegal,AS Monaco,MID,Mediocampista Ofensivo,2,76,22,76.21,401
Kwon Kyung Won,Korea Republic,Seongnam FC,DEF,Defensa Central Físico,3,72,29,76.21,402
N. Radoja,Serbia,Levante Unión Deportiva,MID,Mediocampista Defensivo,3,75,28,76.12,403
Y. Mvogo,Switzerland,PSV,GK,Portero de Reserva,2,76,27,76.05,404
O. Boumal,Cameroon,Newcastle Jets,FWD,Extremo / Delantero Dinámico,3,72,31,76.02,405
D. Bronn,Tunisia,FC Metz,DEF,Defensa Central Físico,3,75,26,76.02,406
Kim Min Jae,Korea Republic,Fenerbahçe SK,DEF,Defensa Central Físico,3,74,24,76.01,407
M. Badelj,Croatia,Genoa,MID,Mediocampista Defensivo,3,76,32,75.98,408
K. El Ahmadi,Morocco,Al Ittihad,MID,Mediocampista Defensivo,3,74,36,75.97,409
D. James,Wales,Leeds United,MID,Mediocampista Ofensivo,2,77,23,75.96,410
A. Djiku,Ghana,RC Strasbourg Alsace,DEF,Defensa Élite,1,76,26,75.96,411
Kwon Chang Hoon,Korea Republic,Suwon Samsung Bluewings,MID,Mediocampista Ofensivo,2,73,27,75.94,412
Eric García,Spain,FC Barcelona,DEF,Defensa Central Físico,3,77,20,75.94,413
M. Rybus,Poland,FC Lokomotiv Moscow,DEF,Lateral Ofensivo,2,75,31,75.94,414
M. Waris,Ghana,RC Strasbourg Alsace,FWD,Extremo / Delantero Dinámico,3,71,29,75.93,415
A. Vega,Mexico,Club Deportivo Guadalajara,FWD,Extremo / Delantero Dinámico,3,73,23,75.92,416
J. Castelletto,Cameroon,FC Nantes,DEF,Defensa Central Físico,3,73,26,75.91,417
O. Tannane,Morocco,Vitesse,MID,Mediocampista Ofensivo,2,76,27,75.89,418
A. Hutchinson,Canada,Beşiktaş JK,MID,Mediocampista Defensivo,3,76,38,75.88,419
S. M'Bia,Cameroon,CF Fuenlabrada,DEF,Defensa Central Físico,3,73,35,75.88,420
A. Hamdallah,Morocco,Al Nassr,FWD,Extremo / Delantero Dinámico,3,77,30,75.87,421
A. Cornelius,Denmark,Trabzonspor,FWD,Pivote / Referencia,2,73,28,75.86,422
D. von Ballmoos,Switzerland,BSC Young Boys,GK,Portero de Reserva,2,76,26,75.86,423
K. Linetty,Poland,Torino F.C.,MID,Mediocampista Defensivo,3,74,26,75.85,424
M. Sels,Belgium,RC Strasbourg Alsace,GK,Portero de Reserva,2,77,29,75.85,425
T. Kędziora,Poland,Dynamo Kyiv,DEF,Lateral Ofensivo,2,75,27,75.83,426
K. Itakura,Japan,FC Schalke 04,DEF,Defensa Central Físico,3,74,24,75.78,427
M. Ngadeu,Cameroon,KAA Gent,DEF,Defensa Central Físico,3,73,30,75.78,428
C. Gamboa,Costa Rica,VfL Bochum 1848,DEF,Lateral Ofensivo,2,72,31,75.78,429
M. Diagne,Senegal,Galatasaray SK,FWD,Pivote / Referencia,2,74,29,75.77,430
J. Maclaren,Australia,Melbourne City FC,FWD,Extremo / Delantero Dinámico,3,76,27,75.76,431
Hong Jeong Ho,Korea Republic,Jeonbuk Hyundai Motors,DEF,Defensa Central Físico,3,71,31,75.73,432
T. Kubo,Japan,RCD Mallorca,MID,Mediocampista Ofensivo,2,75,20,75.72,433
H. Moukoudi,Cameroon,AS Saint-Étienne,DEF,Defensa Central Físico,3,75,23,75.69,434
Y. El Arabi,Morocco,Olympiacos CFP,FWD,Extremo / Delantero Dinámico,3,79,34,75.65,435
M. Niang,Senegal,Stade Rennais FC,FWD,Extremo / Delantero Dinámico,3,76,26,75.62,436
H. Martín,Mexico,Club América,FWD,Extremo / Delantero Dinámico,3,76,28,75.59,437
Guilson Paiva,Brazil,Flamengo,MID,Mediocampista Ofensivo,2,78,25,75.59,438
S. Abdulhamid,Saudi Arabia,Al Ittihad,DEF,Lateral Ofensivo,2,69,21,75.58,439
N. Maksimović,Serbia,Genoa,DEF,Defensa Central Físico,3,75,29,75.57,440
J. Ayew,Ghana,Crystal Palace,FWD,Extremo / Delantero Dinámico,3,75,29,75.55,441
L. Tawamba,Cameroon,Al Taawoun,FWD,Pivote / Referencia,2,73,31,75.54,442
L. Burián,Uruguay,Club Atlético Colón,GK,Portero de Reserva,2,76,37,75.54,443
R. Rodríguez,Switzerland,Torino F.C.,DEF,Defensa Élite,1,76,28,75.51,444
Hwang Ui Jo,Korea Republic,FC Girondins de Bordeaux,FWD,Extremo / Delantero Dinámico,3,76,28,75.48,445
S. Amrabat,Morocco,Fiorentina,MID,Mediocampista Defensivo,3,76,24,75.47,446
J. Onguéné,Cameroon,FC Red Bull Salzburg,DEF,Defensa Central Físico,3,71,23,75.44,447
S. Sané,Senegal,FC Schalke 04,DEF,Defensa Central Físico,3,76,30,75.43,448
R. Cota,Mexico,Club León,GK,Portero de Reserva,2,76,33,75.43,449
N. Kalinić,Croatia,Hellas Verona,FWD,Pivote / Referencia,2,75,33,75.38,450
Stephen Eustáquio,Canada,FC Paços de Ferreira,MID,Mediocampista Defensivo,3,76,24,75.33,451
M. Pjaca,Croatia,Torino F.C.,FWD,Extremo / Delantero Dinámico,3,75,26,75.29,452
T. Meunier,Belgium,Borussia Dortmund,DEF,Defensa Central Físico,3,77,29,75.29,453
J. Foyth,Argentina,Villarreal CF,DEF,Defensa Central Físico,3,75,23,75.29,454
L. Cavallini,Canada,Vancouver Whitecaps FC,FWD,Pivote / Referencia,2,73,28,75.28,455
Z. Brault-Guillard,Canada,Club de Foot Montréal,DEF,Lateral Ofensivo,2,68,22,75.28,456
G. Zardes,United States,Columbus Crew,FWD,Pivote / Referencia,2,73,29,75.24,457
B. Petković,Croatia,Dinamo Zagreb,FWD,Extremo / Delantero Dinámico,3,76,26,75.23,458
H. Sakai,Japan,Urawa Red Diamonds,DEF,Lateral Ofensivo,2,75,31,75.18,459
A. Gomis,Senegal,Stade Rennais FC,GK,Portero de Reserva,2,76,27,75.18,460
J. Drommel,Netherlands,PSV,GK,Portero de Reserva,2,75,24,75.18,461
S. Piette,Canada,Club de Foot Montréal,MID,Mediocampista Defensivo,3,71,26,75.17,462
T. Tomiyasu,Japan,Arsenal,DEF,Defensa Central Físico,3,75,22,75.17,463
Robert Sanchéz,Spain,Brighton & Hove Albion,GK,Portero de Reserva,2,76,23,75.13,464
A. N'Diaye,Senegal,Al Shabab,MID,Mediocampista Defensivo,3,73,31,75.1,465
Y. Touzghar,Tunisia,ESTAC Troyes,FWD,Pivote / Referencia,2,72,34,75.07,466
J. Larsen,Denmark,Udinese Calcio,MID,Mediocampista Defensivo,3,75,30,75.06,467
T. Vermaelen,Belgium,Vissel Kobe,DEF,Defensa Central Físico,3,75,35,75.06,468
V. Aboubakar,Cameroon,Al Nassr,FWD,Extremo / Delantero Dinámico,3,77,29,75.05,469
D. Díaz,Ecuador,Barcelona Sporting Club,MID,Mediocampista Ofensivo,2,76,35,75.04,470
D. Brašanac,Serbia,CA Osasuna,MID,Mediocampista Defensivo,3,76,29,75.03,471
Kim Bo Kyung,Korea Republic,Jeonbuk Hyundai Motors,MID,Mediocampista Ofensivo,2,72,31,74.96,472
D. Brooks,Wales,AFC Bournemouth,FWD,Extremo / Delantero Dinámico,3,76,23,74.87,473
M. Bolaños,Ecuador,Chongqing Liangjiang Athletic,FWD,Extremo / Delantero Dinámico,3,71,31,74.87,474
Y. Eteki,Cameroon,Granada CF,MID,Mediocampista Defensivo,3,75,23,74.82,475
M. Turner,United States,New England Revolution,GK,Portero de Reserva,2,75,27,74.81,476
J. Orozco,Mexico,Club Tijuana,GK,Portero Titular,1,75,35,74.75,477
N. Schlotterbeck,Germany,Sport-Club Freiburg,DEF,Defensa Central Físico,3,73,21,74.74,478
M. Yoshida,Japan,U.C. Sampdoria,DEF,Defensa Central Físico,3,73,32,74.67,479
A. Abdi,Tunisia,Stade Malherbe Caen,DEF,Lateral Ofensivo,2,70,27,74.67,480
C. Atsu,Ghana,Al Raed,FWD,Extremo / Delantero Dinámico,3,72,29,74.65,481
M. Wakaso,Ghana,Shenzhen FC,MID,Mediocampista Defensivo,3,71,30,74.58,482
M. Okugawa,Japan,DSC Arminia Bielefeld,MID,Mediocampista Ofensivo,2,73,25,74.57,483
Jang Hyeon Soo,Korea Republic,Al Hilal,DEF,Defensa Central Físico,3,74,29,74.52,484
S. Kagawa,Japan,PAOK,MID,Mediocampista Ofensivo,2,74,32,74.5,485
T. Sainsbury,Australia,KV Kortrijk,DEF,Defensa Central Físico,3,72,29,74.5,486
S. Adekugbe,Canada,Atakaş Hatayspor,DEF,Lateral Ofensivo,2,68,26,74.5,487
S. Bahoken,Cameroon,Angers SCO,FWD,Extremo / Delantero Dinámico,3,75,29,74.49,488
C. Larin,Canada,Beşiktaş JK,FWD,Pivote / Referencia,2,75,26,74.49,489
Lee Seung Gi,Korea Republic,Jeonbuk Hyundai Motors,MID,Mediocampista Ofensivo,2,71,33,74.42,490
F. Caicedo,Ecuador,Genoa,FWD,Extremo / Delantero Dinámico,3,78,32,74.38,491
R. Morioka,Japan,Royal Charleroi S.C.,MID,Mediocampista Defensivo,3,74,30,74.36,492
C. Fai,Cameroon,Standard de Liège,DEF,Lateral Ofensivo,2,70,28,74.3,493
Ł. Skorupski,Poland,Bologna,GK,Portero de Reserva,2,75,30,74.27,494
A. Acquah,Ghana,Al Batin,MID,Mediocampista Defensivo,3,72,29,74.25,495
M. Batshuayi,Belgium,Beşiktaş JK,FWD,Extremo / Delantero Dinámico,3,76,27,74.24,496
R. Laryea,Canada,Toronto FC,DEF,Lateral Ofensivo,2,71,26,74.2,497
N. Mendy,Senegal,Leicester City,MID,Mediocampista Defensivo,3,75,29,74.19,498
B. Rahman,Ghana,Reading,DEF,Lateral Ofensivo,2,74,26,74.18,499
W. Khazri,Tunisia,AS Saint-Étienne,FWD,Extremo / Delantero Dinámico,3,76,30,74.17,500
T. Lockyer,Wales,Luton Town,DEF,Defensa Central Físico,3,69,26,74.14,501
Jo Hyeon Woo,Korea Republic,Ulsan Hyundai FC,GK,Portero de Reserva,2,75,29,74.14,502
J. Nsame,Cameroon,BSC Young Boys,FWD,Extremo / Delantero Dinámico,3,78,28,74.11,503
K. Mitoma,Japan,Royale Union Saint-Gilloise,FWD,Extremo / Delantero Dinámico,3,73,24,74.11,504
A. Yiadom,Ghana,Reading,DEF,Lateral Ofensivo,2,73,29,74.08,505
C. Mepham,Wales,AFC Bournemouth,DEF,Defensa Central Físico,3,72,23,74.06,506
Kangin Lee,Korea Republic,RCD Mallorca,FWD,Extremo / Delantero Dinámico,3,74,20,74.03,507
D. Vlahović,Serbia,Fiorentina,FWD,Extremo / Delantero Dinámico,3,78,21,73.97,508
T. Puchacz,Poland,1. FC Union Berlin,DEF,Lateral Ofensivo,2,68,22,73.96,509
R. Grant,Australia,Sydney FC,DEF,Lateral Ofensivo,2,72,30,73.92,510
R. Ofori,Ghana,Orlando Pirates,GK,Portero de Reserva,2,74,27,73.92,511
W. Hennessey,Wales,Burnley,GK,Portero de Reserva,2,74,34,73.91,512
A. Jahanbakhsh,Iran,Feyenoord,FWD,Extremo / Delantero Dinámico,3,73,27,73.82,513
Y. Meriah,Tunisia,Al Ain FC,DEF,Defensa Central Físico,3,69,27,73.82,514
Y. Neyou,Cameroon,AS Saint-Étienne,MID,Mediocampista Defensivo,3,75,24,73.81,515
E. Aguilar,Costa Rica,Incheon United FC,MID,Mediocampista Ofensivo,2,72,29,73.77,516
A. Ben Mohamed,Tunisia,Le Havre AC,DEF,Lateral Ofensivo,2,66,26,73.71,517
K. Dolberg,Denmark,OGC Nice,FWD,Extremo / Delantero Dinámico,3,79,23,73.68,518
K. Malong,Cameroon,Olympiacos CFP,MID,Mediocampista Defensivo,3,73,25,73.65,519
E. Choupo-Moting,Cameroon,FC Bayern München,FWD,Extremo / Delantero Dinámico,3,76,32,73.59,520
E. Haji Safi,Iran,AEK Athens,DEF,Lateral Ofensivo,2,72,31,73.54,521
T. Roberts,Wales,Leeds United,MID,Mediocampista Ofensivo,2,73,22,73.52,522
K. Rezaei,Iran,Oud-Heverlee Leuven,FWD,Pivote / Referencia,2,71,29,73.5,523
F. Fajr,Morocco,Demir Grup Sivasspor,MID,Mediocampista Defensivo,3,76,32,73.49,524
R. Ibarra,Ecuador,Club América,MID,Mediocampista Ofensivo,2,74,30,73.45,525
H. Seferović,Switzerland,SL Benfica,FWD,Extremo / Delantero Dinámico,3,78,29,73.43,526
M. Miazga,United States,Deportivo Alavés,DEF,Defensa Central Físico,3,72,25,73.43,527
S. Moharrami,Iran,Dinamo Zagreb,DEF,Lateral Ofensivo,2,71,25,73.4,528
C. Gruezo,Ecuador,FC Augsburg,MID,Mediocampista Defensivo,3,72,26,73.37,529
F. Rønnow,Denmark,1. FC Union Berlin,GK,Portero de Reserva,2,74,28,73.37,530
B. Mensah,Ghana,Yukatel Kayserispor,MID,Mediocampista Ofensivo,2,72,26,73.34,531
Y. Kobayashi,Japan,Kawasaki Frontale,FWD,Extremo / Delantero Dinámico,3,73,33,73.33,532
A. Fukumori,Japan,Hokkaido Consadole Sapporo,DEF,Defensa Central Físico,3,73,28,73.3,533
A. Al Malki,Saudi Arabia,Al Ittihad,MID,Mediocampista Defensivo,3,69,26,73.27,534
C. Nørgaard,Denmark,Brentford,MID,Mediocampista Defensivo,3,73,27,73.26,535
A. Ramsdale,England,Arsenal,GK,Portero de Reserva,2,74,23,73.22,536
M. Grujić,Serbia,FC Porto,MID,Mediocampista Defensivo,3,75,25,73.21,537
Lee Chung Yong,Korea Republic,Ulsan Hyundai FC,MID,Mediocampista Ofensivo,2,71,32,73.16,538
D. Ward,Wales,Leicester City,GK,Portero de Reserva,2,74,28,73.11,539
T. Asano,Japan,VfL Bochum 1848,MID,Mediocampista Ofensivo,2,73,26,73.1,540
F. Calvo,Costa Rica,Chicago Fire Football Club,DEF,Defensa Central Físico,3,70,28,73.1,541
D. Vukovic,Australia,N.E.C. Nijmegen,GK,Portero de Reserva,2,74,36,73.07,542
C. Fassnacht,Switzerland,BSC Young Boys,MID,Mediocampista Ofensivo,2,75,27,72.99,543
H. Souttar,Australia,Stoke City,DEF,Defensa Central Físico,3,71,22,72.93,544
M. Hasebe,Japan,Eintracht Frankfurt,MID,Mediocampista Defensivo,3,77,37,72.85,545
A. Taggart,Australia,Cerezo Osaka,FWD,Extremo / Delantero Dinámico,3,70,28,72.83,546
M. Caktaš,Croatia,Damac FC,MID,Mediocampista Defensivo,3,75,29,72.8,547
J. Intriago,Ecuador,Fútbol Club Juárez,MID,Mediocampista Defensivo,3,72,25,72.78,548
A. Al Sulayhim,Saudi Arabia,Al Nassr,MID,Mediocampista Ofensivo,2,69,27,72.77,549
A. Ienaga,Japan,Kawasaki Frontale,FWD,Extremo / Delantero Dinámico,3,73,35,72.7,550
M. Al Kuwaykibi,Saudi Arabia,Ettifaq FC,MID,Mediocampista Ofensivo,2,71,26,72.69,551
R. Matarrita,Costa Rica,FC Cincinnati,DEF,Lateral Ofensivo,2,71,26,72.64,552
K. Ansarifard,Iran,AEK Athens,FWD,Extremo / Delantero Dinámico,3,74,31,72.63,553
J. Altidore,United States,Toronto FC,FWD,Pivote / Referencia,2,71,31,72.61,554
B. Saka,England,Arsenal,MID,Mediocampista Defensivo,3,80,19,72.57,555
B. Wright,Australia,Sunderland,DEF,Defensa Central Físico,3,68,28,72.5,556
O. El Kaddouri,Morocco,PAOK,MID,Mediocampista Ofensivo,2,73,30,72.49,557
R. McGree,Australia,Birmingham City,MID,Mediocampista Ofensivo,2,70,22,72.49,558
A. Layouni,Tunisia,Vålerenga Fotball,FWD,Extremo / Delantero Dinámico,3,69,28,72.48,559
J. Allen,Wales,Stoke City,MID,Mediocampista Defensivo,3,70,31,72.45,560
K. Al Ghamdi,Saudi Arabia,Al Shabab,DEF,Lateral Ofensivo,2,67,33,72.42,561
E. Kawashima,Japan,RC Strasbourg Alsace,GK,Portero de Reserva,2,73,38,72.42,562
A. Al Bulayhi,Saudi Arabia,Al Hilal,DEF,Defensa Central Físico,3,67,31,72.41,563
M. Dräger,Tunisia,Nottingham Forest,DEF,Lateral Ofensivo,2,69,25,72.39,564
Moon Seon Min,Korea Republic,Jeonbuk Hyundai Motors,MID,Mediocampista Ofensivo,2,71,29,72.31,565
M. Aebischer,Switzerland,BSC Young Boys,MID,Mediocampista Defensivo,3,75,24,72.3,566
Han Kyo Won,Korea Republic,Jeonbuk Hyundai Motors,MID,Mediocampista Ofensivo,2,72,31,72.29,567
M. Kaye,Canada,Colorado Rapids,MID,Mediocampista Defensivo,3,71,26,72.29,568
J. Sornoza,Ecuador,Independiente del Valle,MID,Mediocampista Ofensivo,2,72,27,72.26,569
A. Madu,Saudi Arabia,Al Nassr,DEF,Defensa Central Físico,3,67,27,72.26,570
S. Bguir,Tunisia,Abha Club,MID,Mediocampista Ofensivo,2,72,27,72.21,571
C. Rodríguez,Mexico,CF Monterrey,MID,Mediocampista Defensivo,3,75,24,72.19,572
B. Aaronson,United States,FC Red Bull Salzburg,MID,Mediocampista Ofensivo,2,70,20,72.18,573
M. Crépeau,Canada,Vancouver Whitecaps FC,GK,Portero de Reserva,2,73,27,72.14,574
F. Gaibor,Ecuador,Independiente del Valle,MID,Mediocampista Ofensivo,2,70,29,72.09,575
S. Al Shehri,Saudi Arabia,Al Hilal,FWD,Pivote / Referencia,2,68,27,72.04,576
P. Arriola,United States,D.C. United,MID,Mediocampista Ofensivo,2,73,26,71.98,577
D. Palacios,Ecuador,Los Angeles FC,DEF,Lateral Ofensivo,2,70,21,71.98,578
Son Jun Ho,Korea Republic,Shandong Taishan,MID,Mediocampista Defensivo,3,71,29,71.93,579
T. Rogić,Australia,Celtic,MID,Mediocampista Ofensivo,2,72,28,71.91,580
A. Behich,Australia,GZT Giresunspor,DEF,Lateral Ofensivo,2,69,30,71.88,581
H. Morita,Japan,Santa Clara,MID,Mediocampista Defensivo,3,73,26,71.83,582
M. Pineida,Ecuador,Barcelona Sporting Club,DEF,Lateral Ofensivo,2,71,28,71.83,583
M. Gómez,Uruguay,Valencia CF,FWD,Extremo / Delantero Dinámico,3,80,24,71.82,584
Kang Hyeon Mu,Korea Republic,Pohang Steelers,GK,Portero de Reserva,2,72,26,71.79,585
A. Abedzadeh,Iran,SD Ponferradina,GK,Portero de Reserva,2,73,28,71.77,586
S. Arfield,Canada,Rangers FC,MID,Mediocampista Defensivo,3,73,32,71.76,587
S. Khaoui,Tunisia,Clermont Foot 63,MID,Mediocampista Ofensivo,2,71,26,71.76,588
D. Aimar,Ecuador,Barcelona Sporting Club,DEF,Defensa Central Físico,3,70,26,71.74,589
J. Rodon,Wales,Tottenham Hotspur,DEF,Defensa Central Físico,3,72,23,71.72,590
